"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7d",18.6001745533576,7.45488042551009,0.930468560032043,8.01196380590588,1.12891094406183e-15,5.12419733203066e-15
"hsa-mir-378i",48.2758927123739,8.82919144657071,1.10534433248303,7.98772942250218,1.37446709438139e-15,6.19042931655495e-15
"hsa-miR-589-5p",18.3716049844181,-8.23269439120016,1.04702626433746,-7.86293015907258,3.75250260417538e-15,1.67708001001992e-14
"hsa-mir-432",49.4014064932337,8.86255578766755,1.16730097121653,7.5923485083982,3.14158678130223e-14,1.39332970987527e-13
"hsa-mir-98",47.7708683707044,8.81402539084653,1.16215530090142,7.58420615903055,3.34528886618416e-14,1.47243396307045e-13
"hsa-mir-134",37.5655836837277,8.46669572962347,1.11752851408303,7.57626818727812,3.5563627376412e-14,1.55356898539063e-13
"hsa-mir-193a",23.0227665882991,7.76041431589236,1.03450875044687,7.50154535912836,6.30697971817678e-14,2.73459344497068e-13
"hsa-mir-181b-2",42.7824409998174,8.65527090473282,1.15508682041026,7.49317778698111,6.72257400369587e-14,2.89319666381282e-13
"hsa-mir-181b-1",42.3313004903529,8.63999396354811,1.15384328833062,7.48801336449117,6.99239086455076e-14,2.98719050904705e-13
"hsa-mir-379",26.3521208253349,7.95736315608793,1.06601689152551,7.46457511071954,8.35688334113796e-14,3.5440505264242e-13
"hsa-mir-30e",27.5808099489594,8.02312778956771,1.08135699789746,7.41949957800013,1.17563674855288e-13,4.94960109354511e-13
"hsa-miR-181d-5p",11.2571554266738,-7.74579218197352,1.0469741601133,-7.39826490191056,1.37975400772138e-13,5.76717322651885e-13
"hsa-miR-34c-5p",9.45277085922449,-7.46059204013146,1.01260252035455,-7.36773994747638,1.735448942142e-13,7.20211310988929e-13
"hsa-miR-432-5p",25.1240715197525,-8.03422963290081,1.09324795813602,-7.34895462013861,1.99762988359854e-13,8.23136852745213e-13
"hsa-miR-412-5p",3.39997267048046,-17.7237160100909,2.44389387312562,-7.25224454506414,4.09920894023613e-13,1.67721154526563e-12
"hsa-mir-378c",32.331773584848,8.25069600209369,1.1449747723137,7.20600680608982,5.76165244961863e-13,2.34092312813176e-12
"hsa-mir-150",32.8824336777093,8.27523663817716,1.16009036590754,7.13326899469887,9.80127416713363e-13,3.95454186882266e-12
"hsa-mir-186",26.1163123844689,7.94302475027762,1.11444068955817,7.12736426864199,1.02309077380335e-12,4.09941889365344e-12
"hsa-miR-744-5p",22.1320319456384,-5.59620440588343,0.78549879042074,-7.12439595595801,1.04538121680901e-12,4.16004443127422e-12
"hsa-mir-185",50.3328118603961,8.88897711968178,1.25793595120058,7.06631932349028,1.59097082014246e-12,6.28812276532496e-12
"hsa-miR-92a-1-5p",22.1880964471611,-8.86353903229806,1.27163835982353,-6.97017274119354,3.16552060281594e-12,1.24268072313247e-11
"hsa-mir-224",12.1841761516326,6.84044825323277,0.987561575408726,6.92660429847292,4.3106210960095e-12,1.68085292401444e-11
"hsa-miR-2110",9.52466690508983,-6.55039927686596,0.945847304506717,-6.92542997760317,4.34653288986717e-12,1.68355707267522e-11
"hsa-mir-16-2",31.7666311055019,8.22532152268989,1.19527025360536,6.88155795551625,5.92014795161303e-12,2.27788474164713e-11
"hsa-mir-16-1",32.0890314859577,8.23986405682241,1.19954471992813,6.86915954022628,6.45812495627076e-12,2.46853328920613e-11
"hsa-miR-149-5p",10.0612042081811,-5.87388476686474,0.856866395891176,-6.85507658490407,7.12743250354123e-12,2.70656097029899e-11
"hsa-mir-455",13.6208597700319,7.00443094178841,1.03820178651776,6.7466951345576,1.51250609211775e-11,5.7062729838988e-11
"hsa-miR-451a",9084.28639779551,-6.18513577988256,0.923359713426198,-6.69851163089207,2.10552968342679e-11,7.89234029723203e-11
"hsa-mir-619",48.1169613476171,8.82319537442049,1.32218521464517,6.67319168047747,2.50299122174542e-11,9.32203781944929e-11
"hsa-mir-320d-1",8.24900846121062,6.27759434076824,0.957897314370398,6.55351491917935,5.61983155983031e-11,2.0665329976338e-10
"hsa-mir-320d-2",8.24900846121062,6.27759434076824,0.957897314370398,6.55351491917935,5.61983155983031e-11,2.0665329976338e-10
"hsa-miR-769-5p",17.2696002780526,-7.58398902196894,1.15829459127864,-6.54754764381397,5.84895645538506e-11,2.13726018904322e-10
"hsa-miR-221-5p",14.0206361442549,-8.02290787175312,1.2279095560857,-6.53379382218373,6.41242068986954e-11,2.31452080144537e-10
"hsa-miR-4326",23.735127453946,-8.78958043248369,1.34525543019378,-6.53376320600881,6.41373234135463e-11,2.31452080144537e-10
"hsa-mir-382",16.0146044049581,7.23782802771893,1.11564788273912,6.48755592127214,8.72399641963646e-11,3.12879130852394e-10
"hsa-mir-129-1",5.76845140615905,5.76430215304258,0.889620094712202,6.47950983493394,9.202106918573e-11,3.26001470712861e-10
"hsa-mir-129-2",5.76845140615905,5.76430215304258,0.889620094712202,6.47950983493394,9.202106918573e-11,3.26001470712861e-10
"hsa-miR-34a-5p",9.4931321476888,-7.34907368436046,1.14325379816573,-6.4282084136974,1.29116637349375e-10,4.54647068484769e-10
"hsa-mir-27a",18.1058084674813,7.41502268949921,1.15596650551937,6.4145653477803,1.41225203705976e-10,4.94288212970916e-10
"hsa-mir-340",17.3562447852291,7.35435362395194,1.14768488902642,6.4079902892079,1.47450297920176e-10,5.12985767015702e-10
"hsa-miR-29c-5p",4.56917449728146,-6.18116984019183,0.971760263160228,-6.36079707570081,2.00709461523544e-10,6.94120221102257e-10
"hsa-miR-339-5p",30.8371207565493,-8.9796020823038,1.4238975846506,-6.30635389729046,2.8568539996653e-10,9.76371866944435e-10
"hsa-miR-629-5p",30.9236169446296,-6.1123783910369,0.969213513760775,-6.30653442637159,2.85352531494556e-10,9.76371866944435e-10
"hsa-mir-584",32.9922970165853,8.27941711392734,1.31446289344811,6.29870736952393,3.00137999299534e-10,1.01976712042707e-09
"hsa-mir-4488",43.6177733655898,8.68073006184224,1.38252844395536,6.27887990283008,3.41020876331901e-10,1.15193679737695e-09
"hsa-mir-589",8.05003240525132,6.24674193910986,0.996746614949434,6.26713133049041,3.67759979499196e-10,1.23507831265337e-09
"hsa-miR-671-5p",8.71075777076989,-7.5548656125836,1.21520905236221,-6.21692670730019,5.06986421737479e-10,1.69286845419239e-09
"hsa-mir-484",15.5924267555543,7.19951294926561,1.17203097814781,6.14276677280592,8.10963156405911e-10,2.69239767926763e-09
"hsa-miR-140-5p",4.20941491885603,-6.41076988891844,1.04708535232001,-6.12249027714333,9.21240399344816e-10,3.04114018192806e-09
"hsa-miR-365a-5p",8.76244850574768,-7.39545335580826,1.21210965044982,-6.10130721512183,1.0520447711845e-09,3.45332210202369e-09
"hsa-miR-18a-5p",18.3332136184173,-8.35760998112387,1.39248722114168,-6.00192939240876,1.94986496470135e-09,6.36444687916564e-09
"hsa-miR-20b-5p",5.07236809080454,-6.50108033094689,1.09941233321274,-5.91323212824912,3.35458888849845e-09,1.08883583475843e-08
"hsa-miR-4746-5p",6.66331284369703,-6.79615791283098,1.15862083201015,-5.8657308112094,4.47158752147789e-09,1.44332908332148e-08
"hsa-miR-200a-5p",6.65768904154432,-5.55185159259479,0.951945856755465,-5.83210857339856,5.47312849869086e-09,1.75684400980077e-08
