"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-30e-5p",530.648296476984,-11.4032137429127,0.86958296908243,-13.1134281009955,2.75842321510955e-39,2.91389797814299e-38
"hsa-mir-122",2205.89911938563,15.1883682173019,1.17067014660798,12.9740800697021,1.71644750842687e-38,1.78081428999288e-37
"hsa-miR-9-5p",252.904750448196,-11.0301684459576,0.862156591008666,-12.793694974892,1.77814404716095e-37,1.81245910772019e-36
"hsa-let-7g",613.621318419809,13.3764339879971,1.04586971154875,12.7897708866519,1.87024449183191e-37,1.87346905130058e-36
"hsa-let-7c",209.063324906052,11.8631113127172,0.931378832315847,12.737149375856,3.67581700710223e-37,3.61974522224813e-36
"hsa-mir-532",115.900508283263,11.0356399786325,0.874666550719932,12.6169681115039,1.70250567256705e-36,1.64859299293576e-35
"hsa-mir-146b",812.56233995417,13.7647739076544,1.10355266044501,12.473146412518,1.04612274582172e-35,9.9638904151216e-35
"hsa-mir-30a",236.783185609934,12.0284568270646,0.969014572293865,12.4130814654218,2.2194344880749e-35,2.0798248993089e-34
"hsa-miR-1228-5p",24.2449617128827,-24.0756117525752,1.94067087282894,-12.4058190853763,2.4301486714479e-35,2.24113710811307e-34
"hsa-miR-342-5p",117.309852097599,-10.7015683688293,0.872694043981952,-12.2626806526602,1.43667273334863e-34,1.28416439703931e-33
"hsa-mir-7-1",332.94237730902,12.5027191664046,1.01954948190235,12.262984179126,1.43130027024453e-34,1.28416439703931e-33
"hsa-miR-218-5p",111.076756266848,-10.0338148997887,0.818386655981774,-12.2604820428697,1.47619121934779e-34,1.29949560369859e-33
"hsa-mir-7-3",330.500863447426,12.4917268461961,1.02070161366107,12.2383727810428,1.93880673194593e-34,1.68126374815012e-33
"hsa-mir-7-2",330.498543756695,12.4916631037913,1.02086644071005,12.2363343583936,1.98810518317563e-34,1.698660457978e-33
"hsa-miR-26b-5p",80.5449324210122,-10.5827682012,0.868834996609092,-12.1804119798381,3.95280101612691e-34,3.32837302952136e-33
"hsa-miR-215-5p",48.405035047628,-9.81313082839032,0.814817013547977,-12.0433553365077,2.1022752252408e-33,1.74488843694987e-32
"hsa-mir-1246",80.1429986616402,10.499178860349,0.883171006221816,11.8880474861422,1.3656175950596e-32,1.11749834187271e-31
"hsa-miR-185-5p",119.133130024028,-11.1448128660373,0.94127789098547,-11.840087792107,2.42199303543026e-32,1.95441382442358e-31
"hsa-mir-192",184.667768689024,11.6635669056036,0.98704389023756,11.8166649132455,3.20143222106939e-32,2.547989206084e-31
